timestamp,open,high,low,close,vol,volCcy,volCcyQuote,confirm
1712952300000,151.7,152.89,151.06,152.63,15535.347631,2360452.3946065,2360452.3946065,1
1712952600000,152.62,154.4,152.56,153.99,20102.434131,3087234.64959149,3087234.64959149,1
1712952900000,153.94,154.19,153.15,153.96,16734.177566,2572750.03438876,2572750.03438876,1
1712953200000,153.96,154.01,152.49,152.92,9942.251881,1522572.45483198,1522572.45483198,1
1712953500000,152.91,153.26,152.1,153.05,7523.979493,1148330.3989166,1148330.3989166,1
1712953800000,153.04,153.65,152.68,153.26,6076.797551,930415.91307462,930415.91307462,1
1712954100000,153.22,153.27,152.23,152.52,3691.880468,563680.74305029,563680.74305029,1
1712954400000,152.53,153.35,152.34,152.62,4016.221271,613738.65946618,613738.65946618,1
1712954700000,152.64,153.25,152.46,152.65,5078.128607,775828.27584676,775828.27584676,1
1712955000000,152.64,152.77,151.53,151.76,5100.951619,776342.95237149,776342.95237149,1
1712955300000,151.76,152.56,151.53,152.5,5134.98785,780466.60783718,780466.60783718,1
1712955600000,152.55,152.61,151.33,151.57,9067.264653,1376963.34508102,1376963.34508102,1
1712955900000,151.55,152.17,151.48,152.02,5616.553655,852757.31445952,852757.31445952,1
1712956200000,151.99,152.17,151.75,151.96,3821.704816,580615.05305907,580615.05305907,1
1712956500000,151.98,153.4,151.87,153.27,16110.418901,2461181.72244975,2461181.72244975,1
1712956800000,153.3,153.34,151.74,152.24,7873.047716,1200150.92206775,1200150.92206775,1
1712957100000,152.24,152.78,152.2,152.44,3077.951967,469209.21043566,469209.21043566,1
1712957400000,152.43,152.49,151.83,152.24,1939.575486,295137.35452773,295137.35452773,1
1712957700000,152.26,152.71,151.85,151.96,2565.570032,390412.80152292,390412.80152292,1
1712958000000,151.98,152.01,149.74,150.89,10901.351432,1644729.84822767,1644729.84822767,1
1712958300000,150.89,151.26,150.8,151.25,2548.762888,384854.87588732,384854.87588732,1
1712958600000,151.23,151.36,151.07,151.19,1655.863191,250382.04022774,250382.04022774,1
1712958900000,151.19,152.29,150.99,152.06,4348.852238,659872.00601666,659872.00601666,1
1712959200000,152.05,152.22,151.17,151.32,4640.068783,704034.10313045,704034.10313045,1
1712959500000,151.32,151.89,151.19,151.86,2689.15608,407314.26802681,407314.26802681,1
1712959800000,151.84,152.05,150.39,151.62,17302.674634,2618533.21060965,2618533.21060965,1
1712960100000,151.63,152.6,151.48,152.24,7481.849251,1138932.66862467,1138932.66862467,1
1712960400000,152.24,152.42,151.95,152.24,6227.899643,947276.95751029,947276.95751029,1
1712960700000,152.23,152.23,151.78,151.87,3963.313229,602476.11666324,602476.11666324,1
1712961000000,151.88,152.04,150.7,150.72,4188.356684,634315.8533912,634315.8533912,1
1712961300000,150.72,150.87,149.8,150.34,10625.691036,1596236.39916526,1596236.39916526,1
1712961600000,150.33,150.48,150,150.05,5856.794487,879986.60269246,879986.60269246,1
1712961900000,150.04,150.51,149.75,150.46,5406.393644,811900.55293558,811900.55293558,1
1712962200000,150.46,151.46,150.46,151.25,4755.540804,718684.65245787,718684.65245787,1
1712962500000,151.24,151.53,150.83,151.49,2981.570774,450617.87292143,450617.87292143,1
1712962800000,151.52,151.66,150.31,150.41,11359.799839,1713346.95479408,1713346.95479408,1
1712963100000,150.37,150.51,150,150.36,4241.042665,637031.33509215,637031.33509215,1
1712963400000,150.39,151.48,150.35,151.17,7132.857398,1076015.21328418,1076015.21328418,1
